compound0,compound1,similarity
DB00202,DB00411,0.5195
DB00202,DB01245,0.52
DB00202,DB03128,0.5455
DB05018,DB01296,0.5333
DB05018,DB04564,0.5333
DB05018,DB00419,0.5507
DB05018,DB00491,0.5758
DB05018,DB09121,0.5079
DB01214,DB00571,0.5179
DB01214,DB00960,0.5321
DB01214,DB00264,0.5045
DB01214,DB01580,0.5225
DB01214,DB01297,0.5636
DB01214,DB00187,0.5345
DB01214,DB09205,0.5586
DB01214,DB01193,0.5854
DB01214,DB00335,0.5273
DB01582,DB06147,0.6598
DB01582,DB14033,0.5926
DB01582,DB00891,0.64
DB01582,DB00634,0.6292
DB01582,DB00359,0.7
DB01582,DB06729,0.5739
DB01582,DB00576,0.7071
DB01582,DB01581,0.8039
DB01582,DB00263,0.7327
DB01582,DB00664,0.6667
DB01582,DB01299,0.6727
DB01582,DB00250,0.5455
DB01582,DB00259,0.5926
DB01582,DB06821,0.7048
DB01582,DB01015,0.7273
DB01582,DB01298,0.6542
DB00849,DB01435,0.5
DB00849,DB00754,0.5714
DB00849,DB01437,0.6596
DB00849,DB01320,0.521
DB00849,DB00794,0.7021
DB00849,DB01174,0.7917
DB00849,DB00454,0.5
DB00849,DB00474,0.5051
DB00849,DB00252,0.5385
DB00849,DB00532,0.7742
DB00849,DB05246,0.6667
DB00366,DB00280,0.6667
DB00366,DB00748,0.5965
DB00366,DB00283,0.5556
DB00366,DB09225,0.5
DB00366,DB01620,0.6972
DB00366,DB00420,0.5217
DB00366,DB01114,0.5586
DB00366,DB11160,0.6429
DB00366,DB01142,0.5085
DB00366,DB04837,0.6549
DB00366,DB00647,0.5827
DB00366,DB00924,0.5254
DB00366,DB09088,0.5049
DB00366,DB00792,0.6786
DB00366,DB08801,0.6
DB00366,DB01227,0.5581
DB00366,DB01625,0.5
DB00366,DB01237,0.5789
DB00366,DB12278,0.5037
DB00366,DB00289,0.5
DB00366,DB00321,0.5085
DB00366,DB00458,0.5085
DB00366,DB01173,0.6491
DB00366,DB06691,0.5641
DB00366,DB00675,0.5362
DB00366,DB00405,0.5586
DB00366,DB00835,0.5586
DB00366,DB00985,0.5101
DB00366,DB09167,0.5085
DB00366,DB01075,0.6429
DB00366,DB00539,0.5106
DB00366,DB00333,0.5785
DB01203,DB01210,0.7119
DB01203,DB04846,0.5303
DB01203,DB00960,0.5045
DB01203,DB00374,0.5324
DB01203,DB01291,0.5143
DB01203,DB01001,0.5333
DB01203,DB13139,0.5333
DB01203,DB00521,0.7119
DB01203,DB01359,0.6555
DB00869,DB01194,0.7143
DB00897,DB01588,0.5909
DB00897,DB00801,0.5865
DB00897,DB00842,0.5041
DB00897,DB00475,0.5079
DB00897,DB01068,0.6094
DB00897,DB13872,0.7087
DB00897,DB00829,0.6504
DB00897,DB00186,0.64
DB00897,DB01215,0.6875
DB00897,DB01559,0.592
DB00897,DB00404,0.8615
DB00897,DB00683,0.7576
DB00897,DB00690,0.6197
DB00897,DB01239,0.5079
DB00897,DB00349,0.512
DB00897,DB00231,0.576
DB00897,DB01589,0.637
DB00897,DB01544,0.5846
DB00223,DB00394,0.5632
DB00223,DB01013,0.6626
DB00223,DB01047,0.7368
DB00223,DB14631,0.5063
DB00223,DB00180,0.646
DB00223,DB00547,0.68
DB00223,DB14669,0.7531
DB00223,DB00896,0.5733
DB00223,DB08906,0.7303
DB00223,DB00443,0.8553
DB00223,DB14512,0.5665
DB00223,DB06786,0.5093
DB00223,DB00288,0.5763
DB00223,DB00687,0.5733
DB00223,DB00635,0.527
DB00223,DB00663,1.0
DB00223,DB00846,0.5466
DB00223,DB06781,0.6897
DB00223,DB13867,0.8917
DB00223,DB14649,0.75
DB00223,DB00838,0.7237
DB00223,DB00240,0.7105
DB00223,DB13158,0.6579
DB00223,DB00324,0.7383
DB00223,DB00620,0.7763
DB00223,DB00596,0.9351
DB00223,DB01234,0.8553
DB00223,DB01260,0.566
DB00223,DB00860,0.5811
DB00223,DB15566,0.5128
DB00223,DB00959,0.6533
DB00223,DB01222,0.5399
DB00223,DB00588,0.7738
DB00223,DB00591,0.8221
DB00988,DB00244,0.5085
DB00988,DB00179,0.5111
DB00988,DB00841,0.5435
DB00988,DB00190,0.6389
DB00988,DB00968,0.6667
DB00988,DB06262,0.5507
DB00988,DB00368,0.6774
DB00988,DB01064,0.5429
DB00988,DB00668,0.5846
DB00988,DB00221,0.5067
DB00988,DB09086,0.5079
DB00988,DB06707,0.5938
DB00988,DB01235,0.6866
DB01145,DB00250,0.6034
DB09070,DB01406,0.563
DB09070,DB00367,0.5736
DB09070,DB00977,0.6032
DB09070,DB01357,0.6047
DB09070,DB09389,0.5736
DB09070,DB06713,0.5303
DB09070,DB09123,0.5116
DB09070,DB06710,0.512
DB09070,DB11619,0.5116
DB09070,DB04575,0.5775
DB09070,DB00717,0.6667
DB09070,DB00294,0.5496
DB09070,DB09371,0.8254
DB14490,DB00126,0.6596
DB00394,DB01013,0.8197
DB00394,DB01047,0.5759
DB00394,DB14631,0.5169
DB00394,DB00547,0.5882
DB00394,DB14669,0.6593
DB00394,DB00896,0.6118
DB00394,DB08906,0.5657
DB00394,DB00443,0.6628
DB00394,DB14512,0.7565
DB00394,DB00288,0.6193
DB00394,DB11921,0.573
DB00394,DB00663,0.5632
DB00394,DB06781,0.6598
DB00394,DB13867,0.5424
DB00394,DB14649,0.7222
DB00394,DB01410,0.5146
DB00394,DB01130,0.6839
DB00394,DB12499,0.5085
DB00394,DB00838,0.5465
DB00394,DB14543,0.6114
DB00394,DB00240,0.5233
DB00394,DB13158,0.6279
DB00394,DB14596,0.573
DB00394,DB00324,0.5562
DB00394,DB00620,0.6163
DB00394,DB00596,0.5747
DB00394,DB01234,0.6628
DB00394,DB01260,0.5251
DB00394,DB00860,0.5119
DB00394,DB15566,0.5795
DB00394,DB01222,0.5246
DB00394,DB00588,0.6809
DB00394,DB00769,0.5263
DB00394,DB00591,0.5137
DB01013,DB01047,0.6222
DB01013,DB14631,0.5389
DB01013,DB00547,0.717
DB01013,DB14669,0.7719
DB01013,DB00896,0.6415
DB01013,DB08906,0.6524
DB01013,DB00443,0.795
DB01013,DB14544,0.5057
DB01013,DB14512,0.7802
DB01013,DB06786,0.6235
DB01013,DB14540,0.5146
DB01013,DB00288,0.6989
DB01013,DB11921,0.5747
DB01013,DB00687,0.5535
DB01013,DB00635,0.5223
DB01013,DB00663,0.6626
DB01013,DB06781,0.6667
DB01013,DB13867,0.6386
DB01013,DB14649,0.8166
DB01013,DB01410,0.5128
DB01013,DB01130,0.6044
DB01013,DB12499,0.5422
DB01013,DB00838,0.5466
DB01013,DB14543,0.5165
DB01013,DB00240,0.559
DB01013,DB13158,0.7329
DB01013,DB14596,0.5977
DB01013,DB00324,0.6582
DB01013,DB00620,0.7453
DB01013,DB00596,0.7117
DB01013,DB01234,0.795
DB01013,DB01260,0.5595
DB01013,DB00860,0.5478
DB01013,DB15566,0.5818
DB01013,DB00959,0.5283
DB01013,DB01185,0.5298
DB01013,DB01222,0.5465
DB01013,DB00588,0.7797
DB01013,DB00591,0.6047
DB06147,DB14033,0.5149
DB06147,DB00891,0.7527
DB06147,DB00634,0.6585
DB06147,DB00359,0.7527
DB06147,DB06729,0.6296
DB06147,DB00576,0.7391
DB06147,DB01581,0.7368
DB06147,DB00263,0.6596
DB06147,DB00664,0.7143
DB06147,DB01299,0.6408
DB06147,DB00250,0.587
DB06147,DB00259,0.6486
DB06147,DB06821,0.6939
DB06147,DB01015,0.6957
DB06147,DB01298,0.66
DB06802,DB00564,0.5143
DB06802,DB00586,0.5283
DB06802,DB00573,0.5
DB06802,DB01121,0.5393
DB06802,DB09216,0.5049
DB06802,DB06413,0.5421
DB06802,DB09119,0.5217
DB06802,DB00643,0.569
DB06802,DB00776,0.5234
DB06802,DB01428,0.6337
DB06802,DB01009,0.6415
DB06802,DB14575,0.5047
DB06802,DB00745,0.5421
DB06802,DB03793,0.5128
DB06802,DB00963,0.7222
DB06802,DB09214,0.6415
DB06802,DB02266,0.5
DB06802,DB06736,0.5299
DB06802,DB01399,0.566
DB06802,DB00465,0.5794
DB06802,DB01600,0.6019
DB06802,DB00784,0.5049
DB06802,DB11071,0.5455
DB00528,DB04825,0.5226
DB00528,DB01115,0.5729
DB00528,DB01054,0.6564
DB00528,DB09238,0.7826
DB00528,DB09236,0.5047
DB00528,DB00622,0.7568
DB00528,DB06712,0.59
DB00528,DB01023,0.5
DB00528,DB00393,0.6214
DB00528,DB00401,0.58
DB01210,DB00571,0.5
DB01210,DB04846,0.5538
DB01210,DB00960,0.5138
DB01210,DB00373,0.5128
DB01210,DB01001,0.5049
DB01210,DB13139,0.5049
DB01210,DB00521,0.8103
DB01210,DB01359,0.6838
DB03929,DB04398,0.5333
DB03929,DB00134,0.6
DB03929,DB02893,0.6
DB03929,DB04339,0.5778
DB03929,DB00135,0.5
DB03929,DB00130,0.5714
DB03929,DB00161,0.5
DB03929,DB00128,0.6667
DB03929,DB00174,0.6154
DB03929,DB00129,0.6
DB03929,DB03085,0.5714
DB03929,DB00156,0.5556
DB03929,DB00142,0.619
DB03929,DB00151,0.7059
DB03929,DB00123,0.5581
DB03929,DB00145,0.5
DB00564,DB01246,0.5179
DB00564,DB00344,0.6126
DB00564,DB06413,0.5472
DB00564,DB09119,0.6667
DB00564,DB00498,0.5149
DB00564,DB00420,0.5273
DB00564,DB00776,0.717
DB00564,DB00924,0.6018
DB00564,DB00434,0.5983
DB00564,DB14575,0.717
DB00564,DB00745,0.5472
DB00564,DB01151,0.5225
DB00564,DB01069,0.5321
DB00564,DB00458,0.5133
DB00564,DB00392,0.5043
DB00564,DB13501,0.5133
DB00564,DB00726,0.5043
DB00564,DB00252,0.5047
DB00564,DB01399,0.5143
DB00564,DB00751,0.5185
DB00564,DB07776,0.5294
DB00564,DB00991,0.5
DB00564,DB00902,0.5088
DB00564,DB11071,0.551
DB01136,DB00571,0.5493
DB01136,DB01182,0.6
DB01136,DB00243,0.5227
DB01136,DB00874,0.5354
DB01136,DB00423,0.5185
DB01136,DB00706,0.5422
DB01180,DB01392,0.5561
DB01180,DB01089,0.8353
DB01180,DB00206,0.9213
DB09068,DB00543,0.6032
DB00165,DB00114,0.5676
DB01018,DB00586,0.5161
DB01018,DB01121,0.5
DB01018,DB00629,0.5385
DB01047,DB00180,0.7303
DB01047,DB00547,0.5629
DB01047,DB14669,0.6034
DB01047,DB00896,0.515
DB01047,DB08906,0.6872
DB01047,DB00443,0.6036
DB01047,DB14512,0.5368
DB01047,DB06786,0.6629
DB01047,DB00288,0.7629
DB01047,DB11921,0.6044
DB01047,DB00663,0.7368
DB01047,DB00846,0.6404
DB01047,DB06781,0.7539
DB01047,DB13867,0.7126
DB01047,DB14649,0.7119
DB01047,DB01410,0.5517
DB01047,DB00838,0.6036
DB01047,DB13158,0.5207
DB01047,DB00324,0.6506
DB01047,DB00620,0.5917
DB01047,DB00596,0.7368
DB01047,DB01234,0.6036
DB01047,DB01260,0.6591
DB01047,DB15566,0.5665
DB01047,DB00959,0.503
DB01047,DB01222,0.5222
DB01047,DB00588,0.7243
DB01047,DB00591,0.9
DB00604,DB00317,0.5
DB00604,DB04946,0.581
DB00604,DB01233,0.5
DB00604,DB06480,0.5093
DB14481,DB14517,0.5833
DB00890,DB00867,0.5739
DB00890,DB00255,0.75
DB00890,DB13873,0.5345
DB00890,DB04824,0.512
DB00890,DB09526,0.5641
DB11362,DB08439,0.5233
DB11362,DB00991,0.5644
DB00524,DB00310,0.592
DB00524,DB00880,0.5091
DB00524,DB01325,0.6195
DB00524,DB00562,0.5401
DB00524,DB00808,0.5954
DB08827,DB00872,0.5375
DB08827,DB08950,0.5023
DB08827,DB00342,0.5041
DB08827,DB01419,0.5287
DB08827,DB00950,0.5182
DB01365,DB00120,0.5455
DB01365,DB01121,0.5507
DB01365,DB06218,0.506
DB01365,DB00797,0.5217
DB01365,DB00914,0.5067
DB01365,DB00182,0.623
DB01365,DB03255,0.5283
DB01365,DB09088,0.5063
DB01365,DB11278,0.5
DB01365,DB06819,0.5373
DB01365,DB11587,0.507
DB01365,DB01037,0.5556
DB01365,DB00852,0.5455
DB01365,DB01577,0.6875
DB01365,DB00191,0.7937
DB01365,DB01364,0.5455
DB01365,DB00780,0.6129
DB01365,DB00217,0.6286
DB01365,DB01576,0.623
DB01365,DB01626,0.5672
DB01365,DB14754,0.5
DB00966,DB00678,0.5327
DB00966,DB00275,0.6049
DB00966,DB08822,0.5751
DB12615,DB00955,0.7921
DB12615,DB00479,0.621
DB12615,DB00798,0.6368
DB00280,DB01620,0.5785
DB00280,DB06702,0.5563
DB00280,DB04837,0.544
DB00280,DB00647,0.5612
DB00280,DB00792,0.5484
DB00280,DB08801,0.5152
DB00280,DB01227,0.5674
DB00280,DB01625,0.7
DB00280,DB01036,0.5778
DB00280,DB00333,0.6165
DB01296,DB00928,0.5455
DB01296,DB00640,0.5
DB01296,DB00194,0.5
DB01296,DB04465,0.5435
DB01296,DB00581,0.5
DB01296,DB04564,0.6452
DB01296,DB11217,0.5542
DB01296,DB00987,0.5455
DB01296,DB00428,0.641
DB01296,DB00811,0.5455
DB01296,DB04173,0.5161
DB01296,DB02772,0.5
DB01296,DB09121,0.7077
DB00712,DB00573,0.7129
DB00712,DB00120,0.506
DB00712,DB09216,0.52
DB00712,DB00842,0.5421
DB00712,DB00475,0.5091
DB00712,DB01428,0.5714
DB00712,DB09212,0.5
DB00712,DB01009,0.699
DB00712,DB00628,0.5714
DB00712,DB00829,0.5421
DB00712,DB01050,0.5333
DB00712,DB00861,0.5657
DB00712,DB03793,0.5067
DB00712,DB00682,0.5043
DB00712,DB00870,0.58
DB00712,DB00821,0.5825
DB00712,DB00598,0.547
DB00712,DB09214,0.699
DB00712,DB02266,0.5333
DB00712,DB09213,0.5333
DB00712,DB01399,0.5049
DB00712,DB11221,0.5
DB00712,DB01600,0.62
DB00712,DB07776,0.54
DB00712,DB00991,0.5263
DB00712,DB00784,0.52
DB00712,DB00231,0.5505
DB00712,DB11071,0.5208
DB00712,DB01595,0.5091
DB04272,DB00139,0.5385
DB04272,DB14507,0.5075
DB01192,DB01183,0.8615
DB01192,DB00921,0.5385
DB01192,DB11691,0.5304
DB01192,DB00295,0.5902
DB01192,DB00956,0.624
DB01192,DB00497,0.8819
DB01192,DB06800,0.7556
DB01192,DB00327,0.7377
DB01192,DB00704,0.8421
DB01192,DB06230,0.7519
DB09462,DB01839,0.5385
DB00984,DB00367,0.5921
DB00984,DB00957,0.5276
DB00984,DB08804,0.75
DB00984,DB00823,0.5091
DB00984,DB09389,0.5921
DB00984,DB00396,0.5298
DB00984,DB06713,0.5032
DB00984,DB13946,0.5746
DB00984,DB00624,0.5068
DB00984,DB13956,0.6211
DB00984,DB06780,0.5185
DB00984,DB13952,0.5132
DB00984,DB13955,0.5368
DB00984,DB13944,0.6154
DB00984,DB01420,0.6242
DB00984,DB13954,0.6316
DB00984,DB13953,0.5714
DB00984,DB00717,0.604
DB00984,DB13943,0.6243
DB00984,DB00294,0.5065
DB00984,DB14583,0.5963
DB01603,DB00417,0.6912
DB01603,DB00607,0.7333
DB01603,DB09319,0.5833
DB01603,DB00415,0.6815
DB01603,DB01060,0.6715
DB01603,DB01000,0.5909
DB01603,DB01604,0.5769
DB01603,DB01053,0.6917
DB01603,DB00578,0.6571
DB01603,DB01147,0.7114
DB01603,DB00485,0.7152
DB01603,DB00319,0.5833
DB01603,DB01602,0.5732
DB01603,DB00713,0.7211
DB01603,DB00739,0.5734
DB01603,DB01061,0.5949
DB01603,DB00948,0.5749
DB01603,DB01607,0.6423
DB00468,DB01346,0.7459
DB00468,DB00908,1.0
DB00513,DB00548,0.6441
DB00513,DB03796,0.5067
DB00513,DB01440,0.619
DB00513,DB00166,0.5517
DB00513,DB00129,0.5532
DB00513,DB03017,0.6032
DB00513,DB02530,0.8095
DB00513,DB00123,0.64
DB00513,DB00145,0.5143
DB00513,DB00855,0.5532
DB11640,DB06637,0.5238
DB00244,DB01250,0.5169
DB00244,DB00190,0.5352
DB00244,DB00968,0.5588
DB00244,DB00233,0.8621
DB00244,DB06262,0.5588
DB00244,DB00861,0.5897
DB00244,DB02362,0.6071
DB00244,DB00936,0.6786
DB00244,DB01235,0.5758
DB11817,DB08877,0.6383
DB06216,DB00408,0.5379
DB06216,DB00543,0.5035
DB06216,DB09555,0.5526
DB01220,DB00615,0.7335
DB01220,DB01201,0.773
DB01220,DB01045,0.8115
DB01220,DB11753,0.8571
DB00355,DB01332,0.5493
DB00355,DB00671,0.5032
DB00355,DB00493,0.529
DB00355,DB00438,0.5943
DB00355,DB01416,0.5333
DB00355,DB14879,0.5048
DB00586,DB09216,0.6796
DB00586,DB00575,0.5376
DB00586,DB01283,0.7222
DB00586,DB00186,0.5
DB00586,DB00963,0.5556
DB00586,DB02266,0.5556
DB00586,DB06736,0.8718
DB00586,DB00939,0.6857
DB00586,DB00784,0.6019
DB00872,DB01076,0.5133
DB00872,DB06212,0.5274
DB01406,DB00621,0.5303
DB01406,DB00367,0.5294
DB01406,DB06789,0.535
DB01406,DB00977,0.6466
DB01406,DB01357,0.6471
DB01406,DB14542,0.5
DB01406,DB09389,0.5294
DB01406,DB00396,0.5481
DB01406,DB06713,0.518
DB01406,DB00624,0.5846
DB01406,DB09091,0.5352
DB01406,DB06780,0.5068
DB01406,DB00635,0.507
DB01406,DB00741,0.5352
DB01406,DB06710,0.6667
DB01406,DB06412,0.5255
DB01406,DB01380,0.5333
DB01406,DB01420,0.5248
DB01406,DB12499,0.5695
DB01406,DB04575,0.5906
DB01406,DB01708,0.5077
