,compound_1,compound_2,label
141,DB00050,P30968,1.0
142,DB00051,P01375,1.0
143,DB00052,P10912,1.0
144,DB00052,P16471,1.0
145,DB00054,P05106,1.0
146,DB00054,P08514,1.0
147,DB00054,P12318,1.0
148,DB00054,P31994,1.0
149,DB00054,P04004,1.0
150,DB00055,P00451,1.0
151,DB00055,P12259,1.0
152,DB00055,P00734,1.0
153,DB00055,P05121,1.0
154,DB00055,P07225,1.0
155,DB00055,P02776,1.0
156,DB00055,P07204,1.0
157,DB00055,Q9UNN8,1.0
158,DB00055,P05154,1.0
159,DB00055,P35237,1.0
160,DB00056,P20138,1.0
161,DB00056,P12314,1.0
162,DB00056,O75015,1.0
163,DB00056,P08637,1.0
164,DB00058,P08246,1.0
165,DB00060,P17181,1.0
166,DB00060,P48551,1.0
167,DB00061,P62993,1.0
168,DB00063,P05106,1.0
169,DB00065,P01375,1.0
170,DB00066,P23945,1.0
171,DB00067,P30518,1.0
172,DB00067,P37288,1.0
173,DB00067,P47901,1.0
174,DB00068,P48551,1.0
175,DB00068,P17181,1.0
176,DB00069,P48551,1.0
177,DB00069,P17181,1.0
178,DB00070,P01137,1.0
179,DB00071,P06213,1.0
180,DB00071,P08069,1.0
181,DB00071,P14735,1.0
182,DB00071,P01906,1.0
183,DB00071,P01920,1.0
184,DB00071,P06400,1.0
185,DB00071,P07339,1.0
186,DB00071,P16870,1.0
187,DB00071,P16519,1.0
188,DB00071,P29120,1.0
189,DB00071,P48745,1.0
190,DB00071,P98164,1.0
191,DB00071,Q16270,1.0
192,DB00071,Q96C24,1.0
193,DB00072,P04626,1.0
194,DB00073,P11836,1.0
195,DB00074,P01589,1.0
196,DB00074,P14784,1.0
197,DB00075,P04234,1.0
198,DB00075,P07766,1.0
199,DB00075,P09693,1.0
200,DB00075,P20963,1.0
201,DB00075,O75015,1.0
202,DB00078,P11836,1.0
203,DB00081,P11836,1.0
204,DB00081,P31994,1.0
205,DB00082,P10912,1.0
206,DB00083,P60880,1.0
207,DB00083,P62745,1.0
208,DB00086,P00747,1.0
209,DB00086,P25116,1.0
210,DB00087,P31358,1.0
211,DB00087,O75015,1.0
212,DB00087,P08637,1.0
213,DB00087,P12314,1.0
214,DB00087,P12318,1.0
215,DB00087,P31994,1.0
216,DB00087,P31995,1.0
217,DB00089,Q04609,1.0
218,DB00091,P49069,1.0
219,DB00091,Q96LZ3,1.0
220,DB00091,P62937,1.0
221,DB00091,P30405,1.0
222,DB00092,P06729,1.0
223,DB00092,P08637,1.0
224,DB00092,O75015,1.0
225,DB00094,P23945,1.0
226,DB00095,P20701,1.0
227,DB00095,P20702,1.0
228,DB00097,P22888,1.0
229,DB00097,P23945,1.0
230,DB00098,P06126,1.0
231,DB00098,Q95460,1.0
232,DB00098,P20701,1.0
233,DB00098,P42081,1.0
234,DB00098,P31994,1.0
235,DB00098,P01730,1.0
236,DB00098,P05556,1.0
237,DB00098,P06756,1.0
238,DB00098,P05106,1.0
239,DB00099,P08246,1.0
240,DB00099,Q99062,1.0
241,DB00100,P00742,1.0
242,DB00100,P03951,1.0
243,DB00100,P08709,1.0
244,DB00100,P00451,1.0
245,DB00100,P00734,1.0
246,DB00100,Q07954,1.0
247,DB00100,P38435,1.0
248,DB00102,P09619,1.0
249,DB00102,P16234,1.0
250,DB00102,P01023,1.0
251,DB00105,P48551,1.0
252,DB00105,P17181,1.0
253,DB00106,P30968,1.0
254,DB00107,P30559,1.0
255,DB00107,P01178,1.0
256,DB00108,P13612,1.0
257,DB00108,O75015,1.0
258,DB00108,P05362,1.0
259,DB00108,P12314,1.0
260,DB00109,Q53I07,1.0
261,DB00110,P13843,1.0
262,DB00110,P12314,1.0
263,DB00110,O75015,1.0
264,DB00110,P00736,1.0
265,DB00110,P02745,1.0
266,DB00110,P02746,1.0
267,DB00110,P02747,1.0
268,DB00110,P08637,1.0
269,DB00110,P31994,1.0
270,DB00112,P15692,1.0
271,DB00112,P02745,1.0
272,DB00112,P02746,1.0
273,DB00112,P02747,1.0
274,DB00112,P08637,1.0
275,DB00112,P12314,1.0
276,DB00112,P12318,1.0
277,DB00112,P31994,1.0
278,DB00112,P31995,1.0
279,DB00114,Q9BYV1,1.0
280,DB00114,Q99259,1.0
281,DB00114,P35520,1.0
282,DB00114,Q16719,1.0
283,DB00114,P34896,1.0
284,DB00114,Q9Y697,1.0
285,DB00114,P17174,1.0
286,DB00114,P04181,1.0
287,DB00114,P11926,1.0
288,DB00114,Q8N5Z0,1.0
289,DB00114,P80404,1.0
290,DB00114,Q9NVS9,1.0
291,DB00114,O95470,1.0
292,DB00114,P17735,1.0
293,DB00114,Q16773,1.0
294,DB00114,O15270,1.0
295,DB00114,Q9Y600,1.0
296,DB00114,P19113,1.0
297,DB00114,Q96A70,1.0
298,DB00114,P20132,1.0
299,DB00114,O75600,1.0
300,DB00114,P23378,1.0
301,DB00114,P24298,1.0
302,DB00114,Q9Y617,1.0
303,DB00114,P13196,1.0
304,DB00114,P21549,1.0
305,DB00114,Q96GD0,1.0
306,DB00114,O15269,1.0
307,DB00114,P32929,1.0
308,DB00114,P54687,1.0
309,DB00114,O15382,1.0
310,DB00114,O94903,1.0
311,DB00114,P00505,1.0
312,DB00114,P11216,1.0
313,DB00114,P11217,1.0
314,DB00114,P20711,1.0
315,DB00114,Q2TU84,1.0
316,DB00114,Q53ET4,1.0
317,DB00114,Q59FK2,1.0
318,DB00114,Q59GM9,1.0
319,DB00114,Q5JAM2,1.0
320,DB00114,Q5VZ30,1.0
321,DB00114,Q6IBS8,1.0
322,DB00114,Q6YP21,1.0
323,DB00114,Q6ZQY3,1.0
324,DB00114,Q96I15,1.0
325,DB00114,Q6WRI0,1.0
326,DB00114,Q8IUZ5,1.0
327,DB00114,Q8IVA8,1.0
328,DB00114,P34897,1.0
329,DB00114,P22557,1.0
330,DB00114,Q8TD30,1.0
331,DB00114,Q96EN8,1.0
332,DB00114,Q96GA7,1.0
333,DB00114,Q9BXA1,1.0
334,DB00114,Q9GZT4,1.0
335,DB00114,Q9HD40,1.0
336,DB00114,Q9NUV7,1.0
337,DB00114,Q9UGI5,1.0
338,DB00114,Q9UJX1,1.0
339,DB00115,Q99707,1.0
340,DB00115,P22033,1.0
341,DB00115,Q9UBK8,1.0
342,DB00115,Q8IVH4,1.0
343,DB00115,Q9Y4U1,1.0
344,DB00115,P42898,1.0
345,DB00118,P17707,1.0
346,DB00118,P31153,1.0
347,DB00118,P35520,1.0
348,DB00118,Q14749,1.0
349,DB00118,Q00266,1.0
350,DB00118,P21964,1.0
351,DB00118,Q8N1G2,1.0
352,DB00118,Q9HBK9,1.0
353,DB00119,P30613,1.0
354,DB00119,P14618,1.0
355,DB00119,P11177,1.0
356,DB00119,Q9BYV1,1.0
357,DB00119,O15403,1.0
358,DB00119,P36021,1.0
359,DB00119,O15374,1.0
360,DB00119,P80404,1.0
361,DB00119,O95907,1.0
362,DB00119,O15375,1.0
363,DB00119,O60669,1.0
364,DB00119,O15427,1.0
365,DB00119,P53985,1.0
366,DB00119,P11498,1.0
367,DB00120,O95363,1.0
368,DB00120,Q9Y285,1.0
369,DB00120,Q9NSD9,1.0
370,DB00120,P07101,1.0
371,DB00120,P17735,1.0
372,DB00120,P00439,1.0
373,DB00120,Q9UHI5,1.0
374,DB00121,P05166,1.0
375,DB00121,P50747,1.0
376,DB00121,Q9HCC0,1.0
377,DB00121,O00763,1.0
378,DB00121,Q96RQ3,1.0
379,DB00121,P11498,1.0
380,DB00121,P05165,1.0
381,DB00121,Q13085,1.0
382,DB00122,P22303,1.0
383,DB00122,Q9Y5K3,1.0
384,DB00122,P49585,1.0
385,DB00122,O14939,1.0
386,DB00122,P06276,1.0
387,DB00122,Q13393,1.0
388,DB00122,Q8TCT1,1.0
389,DB00122,P36544,1.0
390,DB00123,O43246,1.0
391,DB00123,Q8WY07,1.0
392,DB00123,Q15046,1.0
393,DB00123,P30825,1.0
394,DB00123,P52569,1.0
395,DB00126,Q54873,1.0
396,DB00126,P24300,1.0
397,DB00126,O00469,1.0
398,DB00126,O14832,1.0
399,DB00126,O60568,1.0
400,DB00126,O75936,1.0
401,DB00126,P09172,1.0
402,DB00126,P19021,1.0
403,DB00126,Q32P28,1.0
404,DB00126,Q8IVL5,1.0
405,DB00126,Q8IVL6,1.0
406,DB00126,P13674,1.0
407,DB00126,Q8N543,1.0
408,DB00126,Q6N063,1.0
409,DB00126,Q6NS38,1.0
410,DB00126,Q96Q83,1.0
411,DB00126,Q9BY66,1.0
412,DB00126,Q02809,1.0
413,DB00126,Q9NVH6,1.0
414,DB00126,Q9NXG6,1.0
415,DB00126,Q9GZT9,1.0
416,DB00126,Q96KS0,1.0
417,DB00126,Q9H6Z9,1.0
418,DB00128,P45381,1.0
419,DB00128,P08243,1.0
420,DB00128,O75746,1.0
421,DB00128,Q9UJS0,1.0
422,DB00128,P00505,1.0
423,DB00128,Q03154,1.0
424,DB00128,Q12797,1.0
425,DB00128,P17174,1.0
426,DB00128,P00966,1.0
427,DB00128,P14868,1.0
428,DB00128,Q5T6L4,1.0
429,DB00128,P43005,1.0
430,DB00128,P22234,1.0
431,DB00128,P30520,1.0
432,DB00128,Q6PI48,1.0
433,DB00128,Q7L266,1.0
434,DB00128,P07998,1.0
435,DB00128,P61626,1.0
436,DB00128,Q8N142,1.0
437,DB00128,P30520,1.0
438,DB00129,P04181,1.0
439,DB00129,P00480,1.0
440,DB00129,P05089,1.0
441,DB00129,P54368,1.0
442,DB00129,P30825,1.0
443,DB00129,P52569,1.0
444,DB00129,Q9BXI2,1.0
445,DB00129,P78540,1.0
446,DB00129,Q9Y619,1.0
447,DB00129,P50440,1.0
448,DB00130,Q06203,1.0
449,DB00130,P17812,1.0
450,DB00130,P15104,1.0
451,DB00131,Q9Y478,1.0
452,DB00131,Q08828,1.0
453,DB00131,Q9NR19,1.0
454,DB00131,Q07343,1.0
455,DB00131,P33121,1.0
456,DB00131,Q13131,1.0
457,DB00131,P16220,1.0
458,DB00131,Q08499,1.0
459,DB00131,P49773,1.0
460,DB00131,P09467,1.0
461,DB00131,P55263,1.0
462,DB00131,Q13131,1.0
463,DB00131,P54646,1.0
464,DB00131,Q9Y478,1.0
465,DB00131,O43741,1.0
466,DB00131,P54619,1.0
467,DB00131,Q9UGJ0,1.0
468,DB00131,Q9UGI9,1.0
469,DB00132,O60427,1.0
470,DB00132,P32418,1.0
471,DB00132,Q8NER1,1.0
472,DB00132,O95864,1.0
473,DB00132,Q07869,1.0
474,DB00132,Q96RI1,1.0
475,DB00132,Q03181,1.0
476,DB00132,P37231,1.0
477,DB00132,P19793,1.0
478,DB00132,Q9NXB9,1.0
479,DB00132,Q9NYP7,1.0
480,DB00134,Q99707,1.0
481,DB00134,Q9UBK8,1.0
482,DB00134,Q93088,1.0
483,DB00134,P50579,1.0
484,DB00134,Q9H2M3,1.0
485,DB00135,P54577,1.0
486,DB00135,Q9Y2Z4,1.0
487,DB00135,P07101,1.0
488,DB00135,P17735,1.0
489,DB00136,P11473,1.0
490,DB00136,P31260,1.0
491,DB00138,Q9UPY5,1.0
492,DB00138,O60931,1.0
493,DB00139,P51649,1.0
494,DB00139,Q9BXA5,1.0
495,DB00140,Q969G6,1.0
496,DB00140,P0AFU8,1.0
497,DB00140,P30043,1.0
498,DB00141,P15291,1.0
499,DB00141,O60513,1.0
500,DB00141,Q9UJ70,1.0
501,DB00141,Q9UK23,1.0
502,DB00141,P54802,1.0
503,DB00141,P51606,1.0
504,DB00142,Q13255,1.0
505,DB00142,Q14833,1.0
506,DB00142,Q16099,1.0
507,DB00142,Q16478,1.0
508,DB00142,Q14831,1.0
509,DB00142,O00222,1.0
510,DB00142,O00341,1.0
511,DB00142,O14841,1.0
512,DB00142,O15067,1.0
513,DB00142,O15382,1.0
514,DB00142,O15399,1.0
515,DB00142,O94925,1.0
516,DB00142,P00505,1.0
517,DB00142,P07814,1.0
518,DB00142,P08243,1.0
519,DB00142,P15104,1.0
520,DB00142,P17174,1.0
521,DB00142,P17735,1.0
522,DB00142,P24298,1.0
523,DB00142,P38435,1.0
524,DB00142,P43003,1.0
525,DB00142,P43004,1.0
526,DB00142,P43005,1.0
527,DB00142,P48506,1.0
528,DB00142,P48664,1.0
529,DB00142,P49448,1.0
530,DB00142,P49915,1.0
531,DB00142,P54687,1.0
532,DB00142,P80404,1.0
533,DB00142,Q05586,1.0
534,DB00142,Q05932,1.0
535,DB00142,Q07075,1.0
536,DB00142,Q12879,1.0
537,DB00142,Q13224,1.0
538,DB00142,Q14957,1.0
539,DB00142,Q2TU84,1.0
540,DB00142,Q5JPH6,1.0
541,DB00142,Q6IA69,1.0
542,DB00142,Q8N159,1.0
543,DB00142,Q8N5Z0,1.0
544,DB00142,Q8TCU5,1.0
545,DB00142,Q8TD30,1.0
546,DB00142,Q9UDR5,1.0
547,DB00142,Q9UI32,1.0
548,DB00142,Q9ULA0,1.0
549,DB00142,Q9UPY5,1.0
550,DB00142,Q9Y646,1.0
551,DB00142,Q9Y617,1.0
552,DB00142,P00367,1.0
553,DB00142,P39086,1.0
554,DB00142,P42261,1.0
555,DB00142,P48507,1.0
556,DB00142,Q04609,1.0
557,DB00142,Q05329,1.0
558,DB00142,Q99259,1.0
559,DB00142,O95954,1.0
560,DB00142,P42262,1.0
561,DB00142,P42263,1.0
562,DB00142,P48058,1.0
563,DB00142,P54886,1.0
564,DB00142,Q13002,1.0
565,DB00142,Q13003,1.0
566,DB00143,P48637,1.0
567,DB00143,P00390,1.0
568,DB00143,P09488,1.0
569,DB00143,Q9Y2Q3,1.0
570,DB00143,Q16772,1.0
571,DB00143,P21266,1.0
572,DB00143,O15217,1.0
573,DB00143,Q03013,1.0
574,DB00143,Q7RTV2,1.0
575,DB00143,P09211,1.0
576,DB00143,P78417,1.0
577,DB00143,P07203,1.0
578,DB00143,P18283,1.0
579,DB00143,P30711,1.0
580,DB00143,O43708,1.0
581,DB00143,O75715,1.0
582,DB00143,P22352,1.0
583,DB00143,P19440,1.0
584,DB00143,Q04760,1.0
585,DB00143,Q16873,1.0
586,DB00143,P36969,1.0
587,DB00143,O60760,1.0
588,DB00143,P28161,1.0
589,DB00143,Q16775,1.0
590,DB00143,P09210,1.0
591,DB00143,O14880,1.0
592,DB00143,P08263,1.0
593,DB00143,P10620,1.0
594,DB00143,P10768,1.0
595,DB00143,P35754,1.0
596,DB00143,P46439,1.0
597,DB00143,P59796,1.0
598,DB00143,Q6NSD4,1.0
599,DB00143,Q96SL4,1.0
600,DB00143,Q99735,1.0
601,DB00143,Q9H4Y5,1.0
602,DB00143,Q9NS18,1.0
603,DB00143,P15121,1.0
604,DB00143,P14780,1.0
605,DB00143,P08684,1.0
606,DB00143,O75715,1.0
607,DB00143,P07203,1.0
608,DB00143,P18283,1.0
609,DB00143,P22352,1.0
610,DB00143,P59796,1.0
611,DB00143,Q96SL4,1.0
612,DB00143,P36969,1.0
613,DB00143,Q8TED1,1.0
614,DB00145,O75600,1.0
615,DB00145,P13196,1.0
616,DB00145,P22557,1.0
617,DB00145,P41250,1.0
618,DB00145,Q12879,1.0
619,DB00145,Q14032,1.0
620,DB00145,Q14330,1.0
621,DB00145,P48637,1.0
622,DB00145,Q14957,1.0
623,DB00145,Q53ET4,1.0
624,DB00145,Q6IB77,1.0
625,DB00145,P34897,1.0
626,DB00145,Q8WU03,1.0
627,DB00145,Q969I3,1.0
628,DB00145,Q9BYV1,1.0
629,DB00145,Q9P0Z9,1.0
630,DB00145,O60391,1.0
631,DB00145,P23415,1.0
632,DB00145,P21549,1.0
633,DB00145,P48167,1.0
634,DB00145,P34896,1.0
635,DB00145,O75311,1.0
636,DB00145,P23416,1.0
637,DB00145,Q14749,1.0
638,DB00145,P50440,1.0
639,DB00146,P11473,1.0
640,DB00148,P06732,1.0
641,DB00148,P12532,1.0
642,DB00148,P12277,1.0
643,DB00148,P17540,1.0
644,DB00148,P48029,1.0
645,DB00148,Q14353,1.0
646,DB00150,P23381,1.0
647,DB00150,P00953,1.0
648,DB00150,Q9UGM6,1.0
649,DB00151,P48507,1.0
650,DB00151,P48506,1.0
651,DB00151,P17174,1.0
652,DB00151,P00505,1.0
653,DB00151,P32929,1.0
654,DB00151,P35520,1.0
655,DB00151,P49589,1.0
656,DB00151,P16455,1.0
657,DB00151,P48637,1.0
658,DB00151,Q9HA77,1.0
659,DB00151,Q9Y600,1.0
660,DB00151,Q9Y697,1.0
661,DB00151,Q16878,1.0
662,DB00152,Q9H3S4,1.0
663,DB00153,P11473,1.0
664,DB00153,Q06432,1.0
665,DB00153,Q9Y698,1.0
666,DB00153,O60359,1.0
667,DB00153,Q9UBN1,1.0
668,DB00153,Q9UF02,1.0
669,DB00153,Q9BXT2,1.0
670,DB00153,P62955,1.0
671,DB00153,Q8WXS5,1.0
672,DB00153,P54289,1.0
673,DB00153,Q9NY47,1.0
674,DB00153,Q8IZS8,1.0
675,DB00153,Q7Z3S7,1.0
676,DB00153,Q13936,1.0
677,DB00153,Q01668,1.0
678,DB00153,O60840,1.0
679,DB00153,Q13698,1.0
680,DB00153,Q02641,1.0
681,DB00153,Q08289,1.0
682,DB00153,P54284,1.0
683,DB00153,O00305,1.0
684,DB00153,Q00975,1.0
685,DB00153,O00555,1.0
686,DB00153,Q15878,1.0
687,DB00153,O43497,1.0
688,DB00153,O95180,1.0
689,DB00153,Q9P0X4,1.0
690,DB00156,P26639,1.0
691,DB00156,Q9BW92,1.0
692,DB00157,P37059,1.0
693,DB00157,Q13423,1.0
694,DB00157,P11766,1.0
695,DB00157,P48728,1.0
696,DB00157,P50213,1.0
697,DB00157,P56181,1.0
698,DB00157,Q9UBM7,1.0
699,DB00157,O00217,1.0
700,DB00157,Q15738,1.0
701,DB00157,P14060,1.0
702,DB00157,P26439,1.0
703,DB00157,P10515,1.0
704,DB00157,P07195,1.0
705,DB00157,Q9UDR5,1.0
706,DB00157,O95299,1.0
707,DB00157,O43920,1.0
708,DB00157,O75380,1.0
709,DB00157,Q15800,1.0
710,DB00157,P11177,1.0
711,DB00157,Q9BYZ2,1.0
712,DB00157,Q04828,1.0
713,DB00157,P31937,1.0
714,DB00157,P80365,1.0
715,DB00157,P05091,1.0
716,DB00157,P49419,1.0
717,DB00157,P19404,1.0
718,DB00157,P23368,1.0
719,DB00157,P07864,1.0
720,DB00157,P51649,1.0
721,DB00157,P00387,1.0
722,DB00157,O43175,1.0
723,DB00157,Q02218,1.0
724,DB00157,O00483,1.0
725,DB00157,O95298,1.0
726,DB00157,Q02338,1.0
727,DB00157,P00367,1.0
728,DB00157,P56937,1.0
729,DB00157,O75489,1.0
730,DB00157,P48448,1.0
731,DB00157,P14061,1.0
732,DB00157,P03897,1.0
733,DB00157,P21695,1.0
734,DB00157,P56556,1.0
735,DB00157,P16083,1.0
736,DB00157,O15239,1.0
737,DB00157,P32322,1.0
738,DB00157,P07327,1.0
739,DB00157,Q02252,1.0
740,DB00157,O43674,1.0
741,DB00157,P30038,1.0
742,DB00157,O96000,1.0
743,DB00157,P14679,1.0
744,DB00157,P40939,1.0
745,DB00157,P13995,1.0
746,DB00157,P03901,1.0
747,DB00157,O43676,1.0
748,DB00157,P49189,1.0
749,DB00157,O95168,1.0
750,DB00157,Q6ZMR3,1.0
751,DB00157,Q00796,1.0
752,DB00157,Q16795,1.0
753,DB00157,O75251,1.0
754,DB00157,O43677,1.0
755,DB00157,Q99714,1.0
756,DB00157,Q9NRX3,1.0
757,DB00157,Q16798,1.0
758,DB00157,P28845,1.0
759,DB00157,P00374,1.0
760,DB00157,P37058,1.0
761,DB00157,O75438,1.0
762,DB00157,P05093,1.0
763,DB00157,P03923,1.0
764,DB00157,O95479,1.0
765,DB00157,P08319,1.0
766,DB00157,P51970,1.0
767,DB00157,O95139,1.0
768,DB00157,Q16836,1.0
769,DB00157,P00325,1.0
770,DB00157,O95182,1.0
771,DB00157,P51659,1.0
772,DB00157,Q02928,1.0
773,DB00157,P00338,1.0
774,DB00157,O95178,1.0
775,DB00157,P17516,1.0
776,DB00157,P43353,1.0
777,DB00157,P00326,1.0
778,DB00157,Q16718,1.0
779,DB00157,P30837,1.0
780,DB00157,P49821,1.0
781,DB00157,P28331,1.0
782,DB00157,O43181,1.0
783,DB00157,P03886,1.0
784,DB00157,P17568,1.0
785,DB00157,O94788,1.0
786,DB00157,P40394,1.0
787,DB00157,Q9P0J0,1.0
788,DB00157,P09417,1.0
789,DB00157,Q86Y39,1.0
790,DB00157,P04406,1.0
791,DB00157,O14561,1.0
792,DB00157,O43678,1.0
793,DB00157,P03905,1.0
794,DB00157,P15428,1.0
795,DB00157,P00352,1.0
796,DB00157,O43837,1.0
797,DB00157,Q16878,1.0
798,DB00157,Q92781,1.0
799,DB00157,P08559,1.0
800,DB00157,P04035,1.0
801,DB00157,Q92506,1.0
802,DB00157,P03915,1.0
803,DB00157,P47895,1.0
804,DB00157,Q08426,1.0
805,DB00157,P30519,1.0
806,DB00157,P40925,1.0
807,DB00157,P42330,1.0
808,DB00157,P30043,1.0
809,DB00157,Q9Y6M9,1.0
810,DB00157,P51648,1.0
811,DB00157,P48163,1.0
812,DB00157,P29803,1.0
813,DB00157,P11586,1.0
814,DB00157,P52895,1.0
815,DB00157,O60701,1.0
816,DB00157,P00390,1.0
817,DB00157,P03891,1.0
818,DB00157,Q13630,1.0
819,DB00157,O95169,1.0
820,DB00157,O95167,1.0
821,DB00157,P30838,1.0
822,DB00157,O14556,1.0
823,DB00157,P12268,1.0
824,DB00157,Q96C36,1.0
825,DB00157,O75306,1.0
826,DB00157,P09601,1.0
827,DB00157,P09622,1.0
828,DB00157,P53004,1.0
829,DB00157,P15121,1.0
830,DB00157,Q9UI09,1.0
831,DB00157,P49448,1.0
832,DB00157,P20839,1.0
833,DB00157,P16219,1.0
834,DB00157,P51553,1.0
835,DB00157,P40926,1.0
836,DB00158,P14207,1.0
837,DB00158,P41439,1.0
838,DB00158,P15328,1.0
839,DB00159,P35354,1.0
840,DB00159,P23219,1.0
841,DB00159,P37231,1.0
842,DB00159,Q03181,1.0
843,DB00159,O60427,1.0
844,DB00159,O60488,1.0
845,DB00159,O14842,1.0
846,DB00159,P32418,1.0
847,DB00159,Q8NER1,1.0
848,DB00159,Q07869,1.0
849,DB00161,P26640,1.0
850,DB00161,P54687,1.0
851,DB00161,P05166,1.0
852,DB00162,Q9BTZ2,1.0
853,DB00162,O94788,1.0
854,DB00162,P00352,1.0
855,DB00162,Q92781,1.0
856,DB00162,P47895,1.0
857,DB00162,Q8NBN7,1.0
858,DB00162,Q96NR8,1.0
859,DB00162,O95237,1.0
860,DB00162,O75911,1.0
861,DB00162,Q6NUM9,1.0
862,DB00162,Q8TC12,1.0
863,DB00162,Q9HBH5,1.0
864,DB00162,Q9NYR8,1.0
865,DB00162,P05090,1.0
866,DB00162,P41222,1.0
867,DB00163,Q9UDX3,1.0
868,DB00163,P09917,1.0
869,DB00163,O76054,1.0
870,DB00163,Q9UDX4,1.0
871,DB00163,P05771,1.0
872,DB00163,O75469,1.0
873,DB00163,P17252,1.0
874,DB00163,P23743,1.0
875,DB00163,P62714,1.0
876,DB00163,P67775,1.0
877,DB00165,O00764,1.0
878,DB00166,Q9Y234,1.0
879,DB00166,Q9Y289,1.0
880,DB00166,O43766,1.0
881,DB00169,P11473,1.0
882,DB00170,P38435,1.0
883,DB00170,Q9BQB6,1.0
884,DB00170,Q8N0U8,1.0
885,DB00170,P00734,1.0
886,DB00170,P00740,1.0
